"id","address","coordinates","phone","rating","restaurent","review_count","timestamp","zip_code"
"xlv_CcDXH1hkG4Wq5mECkQ","[{""S"":""162 Franklin St""},{""S"":""Brooklyn, NY 11222""}]","40.73079 , -73.95753","(718) 383-0808","3.5","Vamos Al Tequila","308","03/03/2022, 22:37:36","11222"
"D1V7ZadUtUPuYYlpDA1BOQ","[{""S"":""570 8th Ave""},{""S"":""New York, NY 10018""}]","40.75472 , -73.99129","(212) 398-4646","4.0","Sakura Of Japan","36","03/03/2022, 22:37:16","10018"
"7FeUdDizBscZueMDaKdjGQ","[{""S"":""1570 2nd Ave""},{""S"":""New York, NY 10028""}]","40.77493 , -73.95366","(516) 715-1692","3.5","Ellie's Chinese Restaurant","11","03/03/2022, 22:37:30","10028"
"Ry9w-jFALWYhazi6jjyIKw","[{""S"":""190 Dean St""},{""S"":""Brooklyn, NY 11217""}]","40.68562 , -73.98587","(718) 576-3209","4.0","Rucola","516","03/03/2022, 22:37:01","11217"
"yKPRuBvD3ScCc18QrZ4Y6w","[{""S"":""3151 Broadway""},{""S"":""New York, NY 10027""}]","40.81452 , -73.95966","(212) 665-7338","3.5","El Porton","195","03/03/2022, 22:37:38","10027"
"pqebqpVTT8bR_s9iEu8dOA","[{""S"":""218 E 10th St""},{""S"":""New York, NY 10003""}]","40.72924 , -73.9858","(212) 995-2877","4.0","Curry-Ya","736","03/03/2022, 22:37:09","10003"
"BtsXojrMtfLRhhFK7rm35A","[{""S"":""1007 50th Ave""},{""S"":""Long Island City, NY 11101""}]","40.742827 , -73.953575","(718) 255-6722","4.5","Hupo","160","03/03/2022, 22:37:21","11101"
"1fVp9c5Vw04ig171a_juRw","[{""S"":""602 Marcy Ave""},{""S"":""Brooklyn, NY 11206""}]","40.694007 , -73.949259","(718) 243-9096","4.0","U Like","52","03/03/2022, 22:37:26","11206"
"pwzLpR9ys1NkE3ppjT88MQ","[{""S"":""174 Elizabeth St""},{""S"":""New York, NY 10012""}]","40.7210205244336 , -73.994662","(646) 998-4999","3.5","Pietro Nolita","564","03/03/2022, 22:37:03","10012"
"l1JScxc5eWUYFmFl6sODgg","[{""S"":""70 Pine St""},{""S"":""City Acres Market""},{""S"":""New York, NY 10005""}]","40.706505 , -74.007773","(917) 261-4531","3.0","Vanessa's Dumpling House","30","03/03/2022, 22:37:31","10005"
"xbrQ2dHuQoFJmNxAuOky4A","[{""S"":""31 Great Jones St""},{""S"":""New York, NY 10012""}]","40.72693 , -73.99319","(212) 253-5700","4.0","Vic's","518","03/03/2022, 22:36:56","10012"
"z4CzSOnngC2RaTEC_BgUWA","[{""S"":""554 Vanderbilt Ave""},{""S"":""Ste 1""},{""S"":""Brooklyn, NY 11238""}]","40.6800799 , -73.96832","(718) 857-6700","4.0","Cataldo's Restaurant","248","03/03/2022, 22:37:04","11238"
"PqqnNrUtU7XTKQvUM4cyqQ","[{""S"":""65 2nd Ave""},{""S"":""New York, NY 10003""}]","40.7260849061034 , -73.9897361397743","(212) 777-6965","4.5","Bar Verde","348","03/03/2022, 22:37:33","10003"
"FkA9aoMhWO4XKFMTuTnl4Q","[{""S"":""372 Lafayette St""},{""S"":""New York, NY 10012""}]","40.7271874 , -73.9938924","(347) 662-3522","3.5","Atla","337","03/03/2022, 22:37:36","10012"
"csVEpHy5KJoFvM1qp5XwLQ","[{""S"":""163 East 33rd St""},{""S"":""New York, NY 10016""}]","40.7454079308793 , -73.9791478306885","(212) 889-5489","4.0","Le Parisien","1006","03/03/2022, 22:36:31","10016"
"Pj7vKy-QJBwUokCMji2MZQ","[{""S"":""300 Grand St""},{""S"":""New York, NY 10002""}]","40.71761 , -73.99168","","3.5","Delight Wong","22","03/03/2022, 22:37:29","10002"
"3Gz07E5YJjDTJPSuzsAStQ","[{""S"":""123 W 52nd St""},{""S"":""New York, NY 10019""}]","40.7617438 , -73.9805565","(212) 956-1404","4.5","Ocean Prime","678","03/03/2022, 22:36:29","10019"
"X8Tg6XHKERw-vdWRU4oH3Q","[{""S"":""489 5th Ave""},{""S"":""Brooklyn, NY 11215""}]","40.66754 , -73.9874899","(718) 832-0050","3.5","Nuevo Mexico Restaurant & Bar","259","03/03/2022, 22:37:40","11215"
"hAPJ5u7-gg358T2Y8mT91Q","[{""S"":""591 Knickerbocker Ave""},{""S"":""Brooklyn, NY 11221""}]","40.696476 , -73.913856","(718) 821-9300","4.0","Nacho Macho Taco","71","03/03/2022, 22:37:40","11221"
"NebgteFykeM1gwiVgPcCHw","[{""S"":""3600 Broadway""},{""S"":""Ste 3""},{""S"":""New York, NY 10031""}]","40.828384 , -73.948674","(917) 262-0213","4.0","The Handpulled Noodle","1000","03/03/2022, 22:37:22","10031"
"xFp3xSQ43J-i7nmJfNBsZA","[{""S"":""43 W 24th St""},{""S"":""New York, NY 10010""}]","40.7433 , -73.99137","(646) 230-8191","4.0","Norikoh","580","03/03/2022, 22:37:09","10010"
"4wVaJsvTuBTXAMzkhjwccg","[{""S"":""225 E 44th St""},{""S"":""New York, NY 10017""}]","40.751771 , -73.972199","(212) 682-7266","3.5","Overlook","268","03/03/2022, 22:37:35","10017"
"wAmWk6hQaHjREDVe8z2otA","[{""S"":""805 3rd Ave""},{""S"":""New York, NY 10022""}]","40.75537 , -73.97054","(212) 751-5257","3.5","Pampano Taqueria","166","03/03/2022, 22:37:35","10022"
"8HkB3JfIj7_g-MN5ujoRig","[{""S"":""89 E 42nd St""},{""S"":""New York, NY 10017""}]","40.75274192627259 , -73.97723946032279","(212) 340-2583","4.5","Grand Central Terminal","1432","03/03/2022, 22:36:28","10017"
"XaEFFUabnbH8ZF7ccmSAlQ","[{""S"":""16 W 8th St""},{""S"":""New York, NY 10011""}]","40.73264 , -73.99752","(212) 888-9653","4.0","South Of The Clouds","232","03/03/2022, 22:37:22","10011"
"023ivwWL8ruoHsr3-AaGFA","[{""S"":""234 5th Ave""},{""S"":""Frnt 1""},{""S"":""New York, NY 10001""}]","40.7442733806164 , -73.987870919479","(212) 532-0372","3.0","Chipotle Mexican Grill","56","03/03/2022, 22:37:42","10001"
"opCMbGK-fvGPRSBibPzu3w","[{""S"":""840 8th Ave""},{""S"":""New York, NY 10019""}]","40.7626 , -73.98566","(212) 489-6187","3.5","Famous Amadeus Pizza","271","03/03/2022, 22:37:02","10019"
"qNmHq3ST2bBinAN-TatwSg","[{""S"":""727 Flushing Ave""},{""S"":""Brooklyn, NY 11206""}]","40.7004883125668 , -73.9435394480824","(718) 576-3279","4.0","Mirakuya - Brooklyn","61","03/03/2022, 22:37:17","11206"
"GuqvwAFpjjz3m3vicbJBTQ","[{""S"":""49-06 43rd Ave""},{""S"":""Woodside, NY 11377""}]","40.744433 , -73.915326","(718) 396-2779","4.0","El Rey del Taco Deli","50","03/03/2022, 22:37:40","11377"
"IFZ3_d01uflGixWrrD8_gg","[{""S"":""787 9th Ave""},{""S"":""Apt 3N""},{""S"":""New York, NY 10019""}]","40.76515 , -73.98813","(212) 262-2323","4.0","Ariana Afghan Kebab Restaurant","512","03/03/2022, 22:36:38","10019"
"IY9NuJdUQHkTjBqZYfFNSQ","[{""S"":""210 E 46th St""},{""S"":""New York, NY 10017""}]","40.75303 , -73.972329","(212) 687-4855","3.5","Sparks Steak House","974","03/03/2022, 22:36:36","10017"
"FsHqkVb0kmLq1VW7P-xz1A","[{""S"":""1077 Flushing Ave""},{""S"":""Brooklyn, NY 11237""}]","40.70465 , -73.9292399","(718) 456-3695","3.0","Tomo Japanese Fusion","174","03/03/2022, 22:37:17","11237"
"XH2CNWlLU2HXROsT5NkCmA","[{""S"":""835 Third Ave""},{""S"":""New York, NY 10022""}]","40.75624 , -73.97012","(212) 355-2821","3.0","Panda Express","115","03/03/2022, 22:37:24","10022"
"enDIsmxSG2bQccQWgGNcbg","[{""S"":""5-50 50th Ave""},{""S"":""Long Island City, NY 11101""}]","40.74259 , -73.9546699","(718) 361-7973","4.0","Takumen","248","03/03/2022, 22:37:10","11101"
"10tnq8x2qI7ix7VqVP0rMw","[{""S"":""377 Amsterdam Ave""},{""S"":""New York, NY 10024""}]","40.78251 , -73.97856","(646) 822-3383","3.5","Tacombi - Upper West Side","198","03/03/2022, 22:37:36","10024"
"PgiqzwIfcV2eruGmNx77lw","[{""S"":""497 7th Ave""},{""S"":""Brooklyn, NY 11215""}]","40.6614456176758 , -73.9857482910156","(718) 965-2874","3.5","Joy Kitchen","44","03/03/2022, 22:37:31","11215"
"NUFdHBhmlzJAZv0IpYuOoA","[{""S"":""121 W 19th St""},{""S"":""New York, NY 10011""}]","40.74081 , -73.99509","(212) 633-4330","4.0","Sushi Tokyo Chelsea","38","03/03/2022, 22:37:16","10011"
"yCa3NOjGUKXBhkAeXpbQ5w","[{""S"":""280 5th Ave""},{""S"":""Brooklyn, NY 11215""}]","40.674397988541656 , -73.98231996653998","(929) 624-2646","4.5","Terrace Restaurant and Bakery","66","03/03/2022, 22:37:38","11215"
"RuOFTFVTEuYSswAlzjxvwQ","[{""S"":""188 Wilson Ave""},{""S"":""Brooklyn, NY 11221""}]","40.69921 , -73.923601","(718) 602-3800","3.0","Happy Garden Chinese Restaurant","20","03/03/2022, 22:37:32","11221"
"KEEXuHCYhsQJ-zpJhu98bA","[{""S"":""1435 Broadway""},{""S"":""New York, NY 10018""}]","40.7547 , -73.98696","(646) 559-4878","4.0","Joe's Pizza","1419","03/03/2022, 22:36:29","10018"
"fyC2cBsQ0FsMJmv0jSworg","[{""S"":""1304 2nd Ave""},{""S"":""Ste A""},{""S"":""New York, NY 10065""}]","40.76652 , -73.9598","(212) 772-1169","4.5","Donna Margherita","117","03/03/2022, 22:36:58","10065"
"jRZ3SuJ--vimE47dna3J7Q","[{""S"":""595 River Rd""},{""S"":""Edgewater, NJ 07020""}]","40.81617969251635 , -73.9798458527666","(201) 945-1612","3.5","Hannosuke","139","03/03/2022, 22:37:15","07020"
"gNmF50bsYnpVQCNXoW02mg","[{""S"":""202 Centre St""},{""S"":""New York, NY 10013""}]","40.71882649220873 , -73.99901858958395","(212) 964-5256","4.0","Jing Fong Restaurant","22","03/03/2022, 22:37:28","10013"
"YCBjn0t4bMaQb8Bk7l37ng","[{""S"":""691 Amsterdam Ave""},{""S"":""New York, NY 10025""}]","40.7923393 , -73.971405","(212) 280-3800","2.5","Gan Asia","45","03/03/2022, 22:37:31","10025"
"_dvEYkCch4RFtJSbxqakrQ","[{""S"":""565 Woodward Ave""},{""S"":""New York, NY 11385""}]","40.7068898 , -73.908794","(347) 889-7439","4.5","Mexico 2000","11","03/03/2022, 22:37:45","11385"
"S4Euw4DYSqeU4KcteFXqHg","[{""S"":""333 Park Ave S""},{""S"":""New York, NY 10010""}]","40.741086 , -73.985333","(212) 466-3330","4.0","Little Beet Table","589","03/03/2022, 22:36:40","10010"
"dpCSDy9uefOEcY44FHss2Q","[{""S"":""51 W 35th St""},{""S"":""New York, NY 10001""}]","40.7501219 , -73.9862269","(212) 695-6674","3.5","Hyo Dong Gak","423","03/03/2022, 22:37:21","10001"
"pehKHPaU7Zgqf5SQ0MZmLA","[{""S"":""303 5th Ave.""},{""S"":""New York, NY 10001""}]","40.7466099 , -73.98568","(212) 448-0444","2.5","Bread & Butter","217","03/03/2022, 22:37:15","10001"
"9T8Ootw4aqmaO42gI-wBSA","[{""S"":""1606 1st Ave""},{""S"":""New York, NY 10028""}]","40.775079766410514 , -73.95047928303218","(212) 207-0052","4.0","Botte UES","32","03/03/2022, 22:37:08","10028"
"R1eZIyH8dOECfqUGGcANdQ","[{""S"":""112 E 116th St""},{""S"":""New York, NY 10029""}]","40.7987632751465 , -73.9426727294922","(212) 860-8883","3.5","Red Star Restaurant","20","03/03/2022, 22:37:31","10029"
"9yTwuznxkJo9JZl7KBZ0zw","[{""S"":""536 E 14th St""},{""S"":""New York, NY 10009""}]","40.729499 , -73.978765","(917) 261-7701","3.5","Hibachi Express","23","03/03/2022, 22:37:18","10009"
"OO1EUYT629SG6rxkHJnmYA","[{""S"":""9605 Metropolitan Ave""},{""S"":""Forest Hills, NY 11375""}]","40.7115099 , -73.85614","(718) 261-3513","3.5","Umi Sushi","85","03/03/2022, 22:37:18","11375"
"8hxvfFZH4kPp35kH5DhnIw","[{""S"":""165 W 72nd St""},{""S"":""New York, NY 10023""}]","40.7785911560059 , -73.9808349609375","(212) 580-5900","3.0","Kumo Sushi","172","03/03/2022, 22:37:15","10023"
"e03tT0hH6qU-_dR8pwFa0Q","[{""S"":""4411 Queens Blvd""},{""S"":""Sunnyside, NY 11104""}]","40.743636 , -73.9202633","(718) 433-2672","3.0","Mr Wonton","57","03/03/2022, 22:37:29","11104"
"xXALPj_reG2ynK23XxaYVA","[{""S"":""28-28 Steinway St""},{""S"":""Astoria, NY 11103""}]","40.76483 , -73.91452","(718) 255-1722","3.5","Riviera Maya","18","03/03/2022, 22:37:45","11103"
"loLFoBWWXfpFu9fOdWebHQ","[{""S"":""2825 Frederick Douglass Blvd""},{""S"":""New York, NY 10039""}]","40.82645 , -73.93951","(212) 862-2702","4.0","Yong Sheng","12","03/03/2022, 22:37:32","10039"
"0oRYwB_SLqjHptvUQwwe2w","[{""S"":""85 Greenwich St""},{""S"":""New York, NY 10006""}]","40.707905071154805 , -74.01362173954276","(212) 509-5017","3.5","Tajin","251","03/03/2022, 22:37:38","10006"
"JVNH3KfshX0ZcAe7_UJFAw","[{""S"":""145 N 4th St""},{""S"":""Brooklyn, NY 11211""}]","40.7161440086706 , -73.95907391147544","(347) 987-3590","3.5","Glaze Teriyaki","81","03/03/2022, 22:37:17","11211"
"HVZ4E2yL-k37oC4ayiubbQ","[{""S"":""1808 Westchester Ave""},{""S"":""Bronx, NY 10472""}]","40.8317697392748 , -73.86583769469","(718) 502-9878","4.0","Sabrosura 2","138","03/03/2022, 22:37:27","10472"
"EM6z-NkZ-q2KPWNY7aKvNw","[{""S"":""79-21 37th Ave""},{""S"":""Jackson Heights, NY 11372""}]","40.7496084 , -73.8868197","(718) 898-0663","3.5","Woks Chinese Cuisine","21","03/03/2022, 22:37:30","11372"
"tK_4ECZ0EPIhW8588hfn5g","[{""S"":""631 5th Ave""},{""S"":""Brooklyn, NY 11215""}]","40.663129 , -73.9912745","(718) 541-2732","4.0","El Nopal Restaurant & Juice Bar","122","03/03/2022, 22:37:40","11215"
"PMp7WlHIXQUnej-Ds1jRfw","[{""S"":""281 Bleecker St""},{""S"":""New York, NY 10014""}]","40.731926 , -74.003223","(212) 462-4682","4.0","Blind Tiger Ale House","910","03/03/2022, 22:36:40","10014"
"01m-oqxaCifh0s0eU03bBg","[{""S"":""493 2nd Ave""},{""S"":""New York, NY 10016""}]","40.74094 , -73.97891","(212) 686-9888","3.0","Asia Express","65","03/03/2022, 22:37:27","10016"
"9MIoDxACK6oSLwz4BVK0IQ","[{""S"":""218 Newark Ave""},{""S"":""Jersey City, NJ 07302""}]","40.722273 , -74.0470235","(201) 614-3660","4.5","Sushi By Bou - Jersey City","176","03/03/2022, 22:37:12","07302"
"6ujYWjs1FTksvuVxuzjUYA","[{""S"":""12 E 22nd St""},{""S"":""New York, NY 10010""}]","40.7400817871094 , -73.9887542724609","(212) 228-7557","4.0","Almond","1038","03/03/2022, 22:36:40","10010"
"Gun7lX-5SYRWzJsNsu-U6g","[{""S"":""265 Lafayette St""},{""S"":""New York, NY 10012""}]","40.7234184 , -73.9965676","(212) 966-2770","3.5","Sant Ambroeus","185","03/03/2022, 22:37:05","10012"
"XKDHsS8PevoEdFLNtt05FA","[{""S"":""42-13 Broadway""},{""S"":""Astoria, NY 11103""}]","40.758007205736 , -73.9167939666258","(718) 777-0430","4.5","Shuya Cafe De Ramen","315","03/03/2022, 22:37:09","11103"
"jy6AHLVJ7cVJZ4Fl_ds3Qg","[{""S"":""1046 Flatbush Ave""},{""S"":""Brooklyn, NY 11226""}]","40.645497 , -73.958364","(347) 350-6152","4.0","Los Tres Chiflados","121","03/03/2022, 22:37:42","11226"
"18OQ0pB94oC2NE4Qbf3MvQ","[{""S"":""698 Anderson Ave""},{""S"":""Cliffside Park, NJ 07010""}]","40.82833 , -73.98616","(201) 941-8855","3.5","New Golden City","20","03/03/2022, 22:37:32","07010"
"LTfR_0NiS7OIRCfkaAJg9w","[{""S"":""638 Park Pl""},{""S"":""Brooklyn, NY 11238""}]","40.6742123562615 , -73.9568891376257","(718) 398-8100","4.5","Silver Rice","307","03/03/2022, 22:37:12","11238"
"CYYLEipRFmr73Hz6XNEzoQ","[{""S"":""55 W 45th St""},{""S"":""New York, NY 10036""}]","40.756482 , -73.981484","(212) 730-7575","4.0","Little Italy Pizza","542","03/03/2022, 22:36:37","10036"
"hcI6TVxFyVNEPXg3rF1bQw","[{""S"":""405 W 44th St""},{""S"":""New York, NY 10036""}]","40.7601086 , -73.99207059999999","(212) 757-2957","3.5","Oaxaca Taqueria","132","03/03/2022, 22:37:36","10036"
"cn3JXMq29UfRkFCUD0Bhbw","[{""S"":""106 Mosco St""},{""S"":""New York, NY 10013""}]","40.7145984 , -73.9993465","(212) 693-1060","3.5","Fried Dumpling","560","03/03/2022, 22:37:22","10013"
"od-5v2v1HdGisEDAXotqeg","[{""S"":""343 E 85th St""},{""S"":""New York, NY 10028""}]","40.7766 , -73.95057","(212) 249-0569","4.0","Poke","479","03/03/2022, 22:37:10","10028"
"rCmhjpAgxRlj1jGwjT6yGw","[{""S"":""30-90 14th St""},{""S"":""Astoria, NY 11102""}]","40.7688 , -73.93192","(347) 848-0159","5.0","Tia Maria","12","03/03/2022, 22:37:40","11102"
"7dhXkHB_Eg1UJ7Yf9wQCjQ","[{""S"":""143 Mulberry St""},{""S"":""New York, NY 10013""}]","40.71888 , -73.99777","(212) 219-9799","3.0","Sofia's of Little Italy","412","03/03/2022, 22:37:05","10013"
"b_3yI7FXcIle71lD9Tulww","[{""S"":""2277 1st Ave""},{""S"":""New York, NY 10035""}]","40.7967861606349 , -73.934840150695","(646) 912-9971","4.5","Guajillo","48","03/03/2022, 22:37:38","10035"
"8CTaeOtqr461Ah5yWcnCPw","[{""S"":""152 Smith St""},{""S"":""Brooklyn, NY 11201""}]","40.686578 , -73.990821","(929) 295-9361","4.0","Fatty Daddy Taco","187","03/03/2022, 22:37:38","11201"
"d8USIZvTTqee35l34anRBg","[{""S"":""345 E 12th St""},{""S"":""New York, NY 10003""}]","40.73033 , -73.98403","(646) 983-4007","4.5","Sauce Pizzeria","220","03/03/2022, 22:36:58","10003"
"C83_0TlJdnKSKwkaH62DKA","[{""S"":""E 71st St""},{""S"":""New York, NY 10021""}]","40.768702 , -73.960223","","4.5","Japan Express","12","03/03/2022, 22:37:17","10021"
"bO8x1Xvtyj4_gUxtX-sjrA","[{""S"":""1743 Lexington Ave""},{""S"":""New York, NY 10029""}]","40.793716 , -73.944923","(212) 828-6520","3.0","Taqueria Guadalupe","50","03/03/2022, 22:37:44","10029"
"uXsYr76zioJq7jjOKRwQog","[{""S"":""218 W 72nd St""},{""S"":""New York, NY 10023""}]","40.778775 , -73.982884","(212) 510-7799","5.0","Shinbashi 72","54","03/03/2022, 22:37:11","10023"
"Kwmxh65GpdhrwjCW4MegCw","[{""S"":""388 Rt 46 W""},{""S"":""South Hackensack, NJ 07606""}]","40.85583 , -74.04644","(201) 880-6904","4.0","Sea Shai Korean and Japanese Kitchen","55","03/03/2022, 22:37:18","07606"
"KaBw8UEm8uZTV6YLsshYrQ","[{""S"":""15 W 32nd St""},{""S"":""Fl 2""},{""S"":""New York, NY 10001""}]","40.747524574399 , -73.9862626791","(212) 279-1876","3.5","Pocha 32","1608","03/03/2022, 22:36:35","10001"
"efxcTuq9Web2AWehfmYMQw","[{""S"":""23 W 56th St""},{""S"":""New York, NY 10019""}]","40.76306 , -73.9757","(212) 315-4313","4.0","Tina's Cuban Cuisine","596","03/03/2022, 22:36:36","10019"
"agCuWjaUJ8xBO_PDDQRiGw","[{""S"":""85 Eldridge St Lower E""},{""S"":""New York, NY 10002""}]","40.71725 , -73.99254","(212) 966-8269","4.5","S Wan Cafe 洋紫荆","144","03/03/2022, 22:37:22","10002"
"mYQMjrtHp8vsEKKNsRz1XA","[{""S"":""423 Troutman St""},{""S"":""Brooklyn, NY 11237""}]","40.7073067 , -73.922154","(718) 628-1927","4.0","Union Pizza Works","265","03/03/2022, 22:37:02","11237"
"HKBJGt04_ZSdiIWA_6J8kQ","[{""S"":""94 University Pl""},{""S"":""New York, NY 10003""}]","40.73387 , -73.9930481239834","(212) 776-1830","3.5","Tortaria","753","03/03/2022, 22:37:35","10003"
"KyOtOluTH8c8SICpf85thg","[{""S"":""91 Wyckoff Ave""},{""S"":""Brooklyn, NY 11237""}]","40.70506 , -73.92022","(347) 378-2838","4.0","Mesa Azteca","281","03/03/2022, 22:37:36","11237"
"CidsTvazKX0BG9mfYq6CLA","[{""S"":""232 Broad Ave""},{""S"":""Palisades Park, NJ 07650""}]","40.84647063816027 , -73.99875738132879","(201) 482-4221","4.5","IT Show","38","03/03/2022, 22:37:17","07650"
"AWeQkgJ0uzNr5YxFr2Bx8g","[{""S"":""187 Mulberry St""},{""S"":""New York, NY 10012""}]","40.7211076542265 , -73.9968880778813","(917) 453-0339","3.5","Pasquale Jones","282","03/03/2022, 22:37:03","10012"
"uboO7T3XSnl8iq0uQWhMXA","[{""S"":""234 Spring St""},{""S"":""New York, NY 10013""}]","40.72549 , -74.00489","(646) 952-0828","3.5","Altro Paradiso","195","03/03/2022, 22:37:04","10013"
"oJjMYhA6z1_BVaQpSdyl8g","[{""S"":""353 Grand St""},{""S"":""New York, NY 10002""}]","40.7167 , -73.98945","(212) 505-9513","4.0","Golden Forest","205","03/03/2022, 22:37:23","10002"
"4eAgPj7eKonKAtk64kgUfQ","[{""S"":""39-56 61st St""},{""S"":""Woodside, NY 11377""}]","40.7458357 , -73.9035436","(718) 424-1688","4.5","Matsuri","176","03/03/2022, 22:37:12","11377"
"8SM-aKKwlK8JNaJTr60c6Q","[{""S"":""752 Metropolitan Ave""},{""S"":""Brooklyn, NY 11211""}]","40.71446 , -73.94392","(718) 218-7777","3.0","East Met West","56","03/03/2022, 22:37:29","11211"
"U2aUFZARLeSMf4RQIxjuTw","[{""S"":""343 Lewis Ave""},{""S"":""Brooklyn, NY 11233""}]","40.6838402152061 , -73.9351565390825","(718) 443-2298","4.5","Lucky House Kitchen","110","03/03/2022, 22:37:24","11233"
"ifIfq2EwEohCgoKnG68_LA","[{""S"":""107 E 34th St""},{""S"":""New York, NY 10016""}]","40.7467827 , -73.9806507","(212) 689-1970","4.5","Villa Berulia","169","03/03/2022, 22:36:58","10016"
"KDse4OHKoryUA4-MUysuag","[{""S"":""112 E 11th St""},{""S"":""New York, NY 10003""}]","40.73157115001156 , -73.98943167557184","(646) 908-2125","3.5","The Ready Rooftop Bar","46","03/03/2022, 22:37:41","10003"
"'-Qn5nXGhxWHNePA0dYmPSg","[{""S"":""43 West 55st""},{""S"":""1fl""},{""S"":""New York, NY 10019""}]","40.76253 , -73.97671","(212) 912-0044","4.0","Tacos Times Square","111","03/03/2022, 22:37:35","10019"
"k5BZq7XdRFr4xMbZMMGxxg","[{""S"":""1 State St""},{""S"":""New York, NY 10004""}]","40.70333 , -74.01412","(646) 921-8550","4.0","Dos Toros","21","03/03/2022, 22:37:45","10004"
"aTBxCoZDOnqAXPDdQmrxMg","[{""S"":""131 Grand St""},{""S"":""Brooklyn, NY 11249""}]","40.71509 , -73.96246","(718) 395-9985","4.0","Taqueria Mexico 2000","28","03/03/2022, 22:37:41","11249"
"itblJyiTY2h2ACidLk66oA","[{""S"":""85 Ave A""},{""S"":""New York, NY 10009""}]","40.725315 , -73.984436","(212) 505-6524","4.0","Takahachi","581","03/03/2022, 22:37:10","10009"
"vTn3ww550Rnhz9naIxtjww","[{""S"":""626 Hudson St""},{""S"":""New York, NY 10014""}]","40.73829 , -74.0054","(212) 255-5699","4.0","Brunetti Pizza","325","03/03/2022, 22:36:57","10014"
"ve78MsETSSr4f_9yc3wmwA","[{""S"":""28-02 21st St""},{""S"":""Astoria, NY 11102""}]","40.77118 , -73.9272","(718) 685-2899","4.5","Astoria Taco Factory","64","03/03/2022, 22:37:36","11102"
"wvn-FO-tY9_iWmA_OgMvEA","[{""S"":""371 1st Ave""},{""S"":""New York, NY 10010""}]","40.73612 , -73.979473","(212) 677-2991","3.5","Frank's Trattoria","150","03/03/2022, 22:37:06","10010"
"0Tvwk0hvgaY0QVIsZGTZKQ","[{""S"":""8 Stone St""},{""S"":""New York, NY 10004""}]","40.7039355145338 , -74.0121731758117","(212) 480-3880","4.5","Antica Ristorante","512","03/03/2022, 22:36:58","10004"
"oe8GEFE4QLFAKt87y7zcgA","[{""S"":""409 W 15th St""},{""S"":""New York, NY 10011""}]","40.74207 , -74.00565","(332) 215-6161","4.5","Very Fresh Noodles","1159","03/03/2022, 22:36:31","10011"
